what is your nationality?,Кто вы по-национа́льности?
what's your mother tongue?,Какóй твой роднóй язык?
what is your native city?,Како́й твой/ваш родно́й го́род?
How many languages do you know?,Сколько языков ты знаешь/вы знаете?
have you ever been to Rome?,Ты была в Риме?
I will go to Moscow,Я поЕду в Москву
I was in Venice,Я был в Венеции
in two years,Через 2 года
Во ско́лько Серге́й за́втракает?,What time does Sergei have breakfast?
Где Серге́й обе́дает в суббо́ту?,Where Sergey has lunch on Saturday?
Когда́ он рабо́тает?,When does he work?
я пью кофе,I drink coffee
Ты готов?,Are you ready?
я чувствую себя лучше,I'm feeling better
Не болей!,don't be sick
Выздора́вливай!,Get on well!
