family,семья
relatives,родственники
parents,родители
Father,Оте́ц
dad,па́па
mother,мать
mum,мама
wife,жена
husband,муж
child,ребёнок
children,дети
Do you have children?,У тебя есть дети?
son,сын
daughter,дочка
sister,сестра
do you have a brother or sister?,У тебя́ есть брат или сестра́?
yes I have a brother,Да, у меня́ есть брат
no I do have neither brother nor sister,Нет, у меня́́ нет ни брата́, ни сестры́
nephew,Племя́нник
niece,Племя́нница
I'm the only child in the family,Я idin stvien ni еди́нственный ребёнок в семье́
cousin (male),Двою́родный брат
cousin (female),Двою́родная сестра́
grandmother,бабушка
grandfather,Вну́чка
grandson,Вну́к
uncle,Дя́дя
aunt,Тётя
