Book,Кни́га
Dictionary,Слова́рь
textbooks,Уче́бник
Newspaper,Газе́та
Magazine,Журна́л
Letter,Письмо́
Envelope,Конве́рт
Pen,Ру́чка
Pencil,Каранда́ш
Notebook,Тетра́дь
city,го́род
for long time,дОлго
river,рекa
lake,озеро
to have a rest,отдыхАть
play tennis,Играть в теннис
stadium,стадиОн
country,страна
to have breakfast,за́втракать
to have lunch,обе́дать
to have dinner,у́жинать
father's name,о́тчество
psychologist,психо́лог
builder,Строи́тель
age,Возраст
9 o'clock,9 часо́в
with my wife,С женой
in the gym,в спортзале
meeting,встре́ча
day off,выходно́й
maybe,Может быть
friends,друзья
embassy,посо́льство
teacher,преподаватель
hobby,хобби
task,задание
exercise,упражнение
word,слово
words,cлова
lunch,обед
few; a little bit,мало
sandwich,сэндвич
salad,салат
hotel,гостиница (отель)
way, road,дорога
left,налево
right,направо
straight,прямо
briefcase,портфель
backpack,рюкзак
theatre,театр
truth,правдо
right, correctly, surely,верно
therefore,поэ́тому
Get well!,Выздора́вливай!
Be healthy!,Не болей!
keyboard,клавиатура
rush-hour,час-пик
free time,Свободное время
hobby,увлечéния, Хóбби
art,Искусство
literature,Литература
to draw; to paint,рисовать
painting (art form),Живопись
culture,Культура
history,История
cinema,Кино
movies,Фильмы
music,Музыка
classical music,Классическая музыка
modern music,Совремéнная музыка
foreign languages,Инострáнные языки
football,Футбол
basketball,Баскетбол
badminton,Бадминтон
blanket,одея́ло
italiano,итальянец
In my house,у меня дома
for her,для неё
week,неде́ля
this week,на этой неде́ле
next week,на сле́дующей неде́ле
another,друго́й
with pleasure, gladly,с удовольствием
cooking recipes,(кулинарные) рецепты
dish (food),блюдо
dishes (food),блюда
stamps,марки
reading (noun),чте́ние
song,пе́сня
cooking (noun),гото́вка
